FoodID	taxonomy	Main.food.description
13120740	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_cone_no_topping_NS_as_to_flavor	Ice cream cone no topping NS as to flavor
13120770	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_cone_no_topping_chocolate_ice_cream	Ice cream cone no topping chocolate ice cream
13120790	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_sundae_cone	Ice cream sundae cone
13120800	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Ice_cream_bar_cone_cake;L5_;Ice_cream_soda_flavors_other_than_chocolate	Ice cream soda flavors other than chocolate
13130300	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Light_ice_cream_flavors_other_than_chocolate_formerly_ice_milk	Light ice cream flavors other than chocolate formerly ice milk
13130330	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Light_ice_cream_no_sugar_added_flavors_other_than_chocolate	Light ice cream no sugar added flavors other than chocolate
13130340	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Light_ice_cream_no_sugar_added_chocolate	Light ice cream no sugar added chocolate
13130590	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Light_ice_cream_soft_serve_NS_as_to_flavor_formerly_ice_milk	Light ice cream soft serve NS as to flavor formerly ice milk
13130620	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Light_ice_cream_soft_serve_cone_flavors_other_than_chocolate_formerly_ice_milk	Light ice cream soft serve cone flavors other than chocolate formerly ice milk
13130630	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Light_ice_cream_soft_serve_cone_chocolate_formerly_ice_milk	Light ice cream soft serve cone chocolate formerly ice milk
13130700	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Light_ice_cream_soft_serve_blended_with_candy_or_cookies	Light ice cream soft serve blended with candy or cookies
13135000	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream;L5_;Ice_cream_sandwich_made_with_light_ice_cream_flavors_other_than_chocolate	Ice cream sandwich made with light ice cream flavors other than chocolate
13140700	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream_bar_cone_cake;L5_;Light_ice_cream_creamsicle_or_dreamsicle_formerly_ice_milk	Light ice cream creamsicle or dreamsicle formerly ice milk
13140900	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Light_ice_cream_bar_cone_cake;L5_;Light_ice_cream_fudgesicle_formerly_ice_milk	Light ice cream fudgesicle formerly ice milk
13160160	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Fat_free_ice_cream;L5_;Fat_free_ice_cream_no_sugar_added_flavors_other_than_chocolate	Fat free ice cream no sugar added flavors other than chocolate
13161000	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Fat_free_ice_cream;L5_;Milk_dessert_bar_frozen_made_from_lowfat_milk	Milk dessert bar frozen made from lowfat milk
13161520	L1_Milk_and_Milk_Products;L2_Milk_desserts_sauces_gravies;L3_Milk_desserts_frozen;L4_Fat_free_ice_cream;L5_;Milk_dessert_sandwich_bar_frozen_with_lowcalorie_sweetener_made_from_lowfat_milk	Milk dessert sandwich bar frozen with lowcalorie sweetener made from lowfat milk
